time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,y_shift_retrieved,x_shift_retrieved
1577957195.350483,psf_trial4_00000001.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577957196.006790,psf_trial4_00000005.fits,-0.000082,-0.004694,-1.011254,50.000000,50.000000
1577957196.689147,psf_trial4_00000010.fits,-0.001291,-0.003121,-1.932288,50.000000,50.000000
1577957197.357752,psf_trial4_00000015.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957198.021577,psf_trial4_00000019.fits,-0.001621,-0.003182,-3.965677,50.000000,50.000000
1577957198.685126,psf_trial4_00000024.fits,-0.001621,-0.003182,-3.965677,50.000000,50.000000
1577957199.351837,psf_trial4_00000029.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957200.007212,psf_trial4_00000033.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957200.666160,psf_trial4_00000038.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957201.327096,psf_trial4_00000042.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957201.992784,psf_trial4_00000047.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957202.657097,psf_trial4_00000052.fits,-0.001291,-0.003121,-1.932288,50.000000,50.000000
1577957203.315293,psf_trial4_00000056.fits,-0.001291,-0.003121,-1.932288,50.000000,50.000000
1577957203.983434,psf_trial4_00000061.fits,-0.001291,-0.003121,-1.932288,50.000000,50.000000
1577957204.648688,psf_trial4_00000066.fits,-0.001291,-0.003121,-1.932288,50.000000,50.000000
1577957205.298958,psf_trial4_00000070.fits,-0.001291,-0.003121,-1.932288,50.000000,50.000000
1577957205.956359,psf_trial4_00000075.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957206.625515,psf_trial4_00000079.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957207.289613,psf_trial4_00000084.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957207.970342,psf_trial4_00000089.fits,-0.001428,-0.003156,-2.948090,50.000000,50.000000
1577957208.653118,psf_trial4_00000093.fits,-0.000082,-0.004694,-1.011254,50.000000,50.000000
1577957209.331556,psf_trial4_00000098.fits,-0.000082,-0.004694,-1.011254,50.000000,50.000000
1577957210.005041,psf_trial4_00000103.fits,-0.000082,-0.004694,-1.011254,50.000000,50.000000
1577957210.675016,psf_trial4_00000107.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577957211.343928,psf_trial4_00000112.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577957212.013131,psf_trial4_00000117.fits,0.000396,-0.004706,1.014665,50.000000,50.000000
1577957212.683565,psf_trial4_00000121.fits,0.000396,-0.004706,1.014665,50.000000,50.000000
1577957213.350082,psf_trial4_00000126.fits,0.000396,-0.004706,1.014665,50.000000,50.000000
1577957214.017583,psf_trial4_00000131.fits,0.000396,-0.004706,1.014665,50.000000,50.000000
1577957214.695923,psf_trial4_00000135.fits,0.000396,-0.004706,1.014665,50.000000,50.000000
1577957215.369151,psf_trial4_00000140.fits,0.001921,-0.006284,3.968945,50.000000,50.000000
