time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,y_center_retrieved,x_center_retrieved
1577960150.834367,psf_trial5_00000001.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577960152.129972,psf_trial5_00000004.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577960153.365809,psf_trial5_00000008.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577960154.558182,psf_trial5_00000013.fits,-0.095389,-5.653728,-1.418059,50.000000,50.000000
1577960155.239247,psf_trial5_00000018.fits,-0.095389,-5.653728,-1.418059,50.000000,50.000000
1577960155.913303,psf_trial5_00000023.fits,-0.096423,-8.556810,-1.623762,50.000000,50.000000
1577960156.584226,psf_trial5_00000027.fits,0.002169,10.691363,0.001732,49.000000,50.000000
1577960157.259434,psf_trial5_00000032.fits,0.002169,10.691363,0.001732,49.000000,50.000000
1577960157.929183,psf_trial5_00000037.fits,0.094460,10.749562,1.463657,49.000000,50.000000
1577960158.615889,psf_trial5_00000042.fits,0.094460,10.749562,1.463657,49.000000,50.000000
1577960159.285556,psf_trial5_00000046.fits,0.002169,10.691363,0.001732,49.000000,50.000000
1577960159.957303,psf_trial5_00000051.fits,0.182210,10.765686,-0.730908,49.000000,50.000000
1577960160.622476,psf_trial5_00000056.fits,0.094460,10.749562,1.463657,49.000000,50.000000
1577960161.291878,psf_trial5_00000060.fits,0.182210,10.765686,-0.730908,49.000000,50.000000
1577960161.960077,psf_trial5_00000065.fits,0.183926,-7.927039,-0.689473,50.000000,50.000000
1577960162.632854,psf_trial5_00000070.fits,0.183926,-7.927039,-0.689473,50.000000,50.000000
1577960163.292555,psf_trial5_00000074.fits,0.183926,-7.927039,-0.689473,50.000000,50.000000
1577960163.974257,psf_trial5_00000079.fits,0.183926,-7.927039,-0.689473,50.000000,50.000000
1577960164.663791,psf_trial5_00000084.fits,0.183926,-7.927039,-0.689473,50.000000,50.000000
1577960165.325032,psf_trial5_00000088.fits,0.182210,10.765686,-0.730908,49.000000,50.000000
1577960166.003644,psf_trial5_00000093.fits,0.094460,10.749562,1.463657,49.000000,50.000000
1577960166.687346,psf_trial5_00000098.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960167.353878,psf_trial5_00000102.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960168.031495,psf_trial5_00000107.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960168.703392,psf_trial5_00000112.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960169.388332,psf_trial5_00000116.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960170.060412,psf_trial5_00000121.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960170.737221,psf_trial5_00000126.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960171.408358,psf_trial5_00000130.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960172.071925,psf_trial5_00000135.fits,0.002169,10.691363,0.001732,49.000000,50.000000
1577960172.748755,psf_trial5_00000140.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960173.421073,psf_trial5_00000144.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960174.093876,psf_trial5_00000149.fits,0.094093,-8.443799,1.635695,50.000000,50.000000
1577960174.770484,psf_trial5_00000154.fits,0.184751,-4.940654,-0.650086,50.000000,50.000000
1577960175.445433,psf_trial5_00000158.fits,0.184751,-4.940654,-0.650086,50.000000,50.000000
1577960176.114412,psf_trial5_00000163.fits,0.184292,-2.413545,-1.161715,50.000000,50.000000
1577960176.780812,psf_trial5_00000168.fits,0.184292,-2.413545,-1.161715,50.000000,50.000000
1577960177.457723,psf_trial5_00000172.fits,0.094054,-5.531899,1.432923,50.000000,50.000000
1577960178.131158,psf_trial5_00000177.fits,0.094054,-5.531899,1.432923,50.000000,50.000000
1577960178.803994,psf_trial5_00000182.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960179.487378,psf_trial5_00000186.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960180.188417,psf_trial5_00000191.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960180.879073,psf_trial5_00000196.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960181.549325,psf_trial5_00000201.fits,-0.001372,-8.123849,0.005417,50.000000,50.000000
1577960182.244740,psf_trial5_00000205.fits,0.002169,10.691363,0.001732,49.000000,50.000000
1577960182.927066,psf_trial5_00000210.fits,0.094460,10.749562,1.463657,49.000000,50.000000
1577960183.611041,psf_trial5_00000215.fits,0.094460,10.749562,1.463657,49.000000,50.000000
1577960184.278023,psf_trial5_00000220.fits,0.096259,8.548394,1.626311,49.000000,50.000000
1577960184.950441,psf_trial5_00000224.fits,0.001624,8.115250,-0.001953,49.000000,50.000000
1577960185.623350,psf_trial5_00000229.fits,0.096259,8.548394,1.626311,49.000000,50.000000
1577960186.298349,psf_trial5_00000234.fits,0.185902,8.054950,-0.693605,49.000000,50.000000
1577960186.965373,psf_trial5_00000238.fits,0.182210,10.765686,-0.730908,49.000000,50.000000
1577960187.652797,psf_trial5_00000243.fits,0.182210,10.765686,-0.730908,49.000000,50.000000
1577960188.341422,psf_trial5_00000248.fits,0.182210,10.765686,-0.730908,49.000000,50.000000
1577960189.025924,psf_trial5_00000252.fits,0.185902,8.054950,-0.693605,49.000000,50.000000
1577960189.692867,psf_trial5_00000257.fits,0.186079,5.080293,-0.658035,49.000000,50.000000
1577960190.370792,psf_trial5_00000262.fits,0.271780,5.175281,-3.619264,49.000000,50.000000
1577960191.042568,psf_trial5_00000267.fits,0.271780,5.175281,-3.619264,49.000000,50.000000
1577960191.714083,psf_trial5_00000271.fits,0.271780,5.175281,-3.619264,49.000000,50.000000
1577960192.397237,psf_trial5_00000276.fits,0.270898,7.700619,-3.877575,49.000000,50.000000
1577960193.072012,psf_trial5_00000281.fits,0.185902,8.054950,-0.693605,49.000000,50.000000
1577960193.744595,psf_trial5_00000285.fits,0.095494,5.644880,1.420634,49.000000,50.000000
1577960194.425338,psf_trial5_00000290.fits,0.095494,5.644880,1.420634,49.000000,50.000000
1577960195.124624,psf_trial5_00000295.fits,0.095494,5.644880,1.420634,49.000000,50.000000
