time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,x_center_retrieved,y_center_retrieved
1577952250.581032,psf_trial1_00000001.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577952251.242106,psf_trial1_00000005.fits,0.000396,-0.004706,1.014665,50.000000,50.000000
1577952251.905792,psf_trial1_00000010.fits,0.252594,0.042760,5.037124,50.000000,50.000000
1577952252.566697,psf_trial1_00000015.fits,0.500742,-0.039487,-3.050638,50.000000,50.000000
1577952253.232800,psf_trial1_00000019.fits,0.500194,-0.039091,-4.165881,50.000000,50.000000
1577952253.898449,psf_trial1_00000024.fits,0.500461,0.956961,-4.166339,50.000000,50.000000
1577952254.567605,psf_trial1_00000029.fits,0.500461,0.956961,-4.166339,50.000000,50.000000
1577952255.233227,psf_trial1_00000033.fits,0.252100,0.928287,4.123575,50.000000,50.000000
1577952255.894318,psf_trial1_00000038.fits,0.254529,2.030039,3.248136,50.000000,50.000000
1577952256.553746,psf_trial1_00000043.fits,0.256713,3.149378,3.427883,50.000000,50.000000
1577952257.221294,psf_trial1_00000047.fits,0.256713,3.149378,3.427883,50.000000,50.000000
1577952257.890317,psf_trial1_00000052.fits,-0.000307,4.134032,-2.027482,50.000000,50.000000
1577952258.556806,psf_trial1_00000057.fits,-0.264025,4.604355,-6.635475,50.000000,50.000000
1577952259.224785,psf_trial1_00000061.fits,-0.264791,3.565158,-6.641065,50.000000,50.000000
1577952259.898597,psf_trial1_00000066.fits,-0.264791,3.565158,-6.641065,50.000000,50.000000
1577952260.564810,psf_trial1_00000071.fits,0.000431,4.951076,-1.014870,50.000000,50.000000
1577952261.234474,psf_trial1_00000075.fits,0.000959,4.941646,-0.001514,50.000000,50.000000
1577952261.908678,psf_trial1_00000080.fits,0.000959,4.941646,-0.001514,50.000000,50.000000
1577952262.585768,psf_trial1_00000085.fits,0.253862,5.318657,4.470965,50.000000,50.000000
1577952263.245740,psf_trial1_00000090.fits,0.253862,5.318657,4.470965,50.000000,50.000000
1577952263.905292,psf_trial1_00000094.fits,0.253862,5.318657,4.470965,50.000000,50.000000
1577952264.566565,psf_trial1_00000099.fits,0.253862,5.318657,4.470965,50.000000,50.000000
1577952265.232212,psf_trial1_00000103.fits,0.253862,5.318657,4.470965,50.000000,50.000000
1577952265.894656,psf_trial1_00000108.fits,0.496811,5.066432,-4.258967,50.000000,50.000000
1577952266.559561,psf_trial1_00000113.fits,0.749627,4.972291,-0.370410,50.000000,50.000000
1577952267.227117,psf_trial1_00000117.fits,0.749627,4.972291,-0.370410,50.000000,50.000000
1577952267.896606,psf_trial1_00000122.fits,0.496811,5.066432,-4.258967,50.000000,50.000000
1577952268.566494,psf_trial1_00000127.fits,0.496811,5.066432,-4.258967,50.000000,50.000000
1577952269.238972,psf_trial1_00000132.fits,0.495807,6.031311,-5.467538,50.000000,50.000000
1577952269.901844,psf_trial1_00000136.fits,0.495807,6.031311,-5.467538,50.000000,50.000000
