filename,opd_injected,tip_injected,tilt_injected,x_shift_injected,y_shift_injected
psf_trial6_00008339.fits,0.5,-38.00000000000002,-54.00000000000003,-2.25,1.875
psf_trial6_00000461.fits,0.5,13.0,8.0,0.2500000000000001,4.33680868994201e-17
psf_trial6_00004654.fits,-1.75,-21.0,-17.0,-1.0,0.6250000000000001
psf_trial6_00008149.fits,1.5,-29.00000000000001,-52.00000000000003,-2.625,1.875
psf_trial6_00004237.fits,-3.5,-9.0,-15.0,-0.375,0.3750000000000001
psf_trial6_00009028.fits,-4.750000000000001,-49.00000000000002,-49.00000000000002,-1.375,0.1249999999999996
psf_trial6_00006051.fits,1.0,-21.0,-39.00000000000002,-4.500000000000002,3.250000000000001
psf_trial6_00001523.fits,-3.0,-6.000000000000001,-1.0,-0.25,-0.25
psf_trial6_00009186.fits,-5.000000000000001,-49.00000000000002,-49.00000000000002,-1.75,0.6249999999999997
psf_trial6_00000224.fits,-0.2500000000000001,10.0,0.0,0.0,-0.625
psf_trial6_00009421.fits,-3.5,-57.00000000000003,-46.00000000000002,-1.624999999999999,0.2499999999999996
psf_trial6_00008186.fits,1.75,-33.00000000000001,-52.00000000000003,-2.875,1.875
psf_trial6_00005614.fits,0.2500000000000001,-17.0,-34.00000000000001,-4.000000000000002,2.25
psf_trial6_00001840.fits,-2.0,-12.0,-5.000000000000001,-1.625,-1.25
psf_trial6_00006536.fits,-0.2500000000000001,-28.00000000000001,-34.00000000000001,-3.625000000000001,3.250000000000001
psf_trial6_00004132.fits,-3.0,-10.0,-18.0,-0.375,0.7500000000000001
psf_trial6_00006000.fits,1.25,-27.00000000000001,-39.00000000000002,-4.375000000000002,3.125000000000001
psf_trial6_00006272.fits,-8.673617379884e-17,-28.00000000000001,-40.00000000000002,-4.250000000000002,2.875
psf_trial6_00002000.fits,-2.0,-14.0,-11.0,-1.75,-2.0
psf_trial6_00005751.fits,1.0,-20.0,-35.00000000000001,-3.500000000000001,2.125
psf_trial6_00001024.fits,-1.25,-3.000000000000001,6.000000000000001,-0.7500000000000001,0.6250000000000001
psf_trial6_00003591.fits,-0.2500000000000001,-12.0,-13.0,0.2500000000000001,-0.125
psf_trial6_00007916.fits,2.25,-27.00000000000001,-52.00000000000003,-3.250000000000001,1.75
psf_trial6_00009667.fits,-4.000000000000001,-55.00000000000003,-40.00000000000001,-1.25,0.6249999999999997
psf_trial6_00005870.fits,0.7500000000000002,-22.00000000000001,-38.00000000000002,-4.250000000000002,2.5
psf_trial6_00004830.fits,-3.0,-15.0,-22.00000000000001,-1.25,1.5
psf_trial6_00002355.fits,-1.25,-14.0,-9.0,-0.8750000000000001,-2.0
psf_trial6_00008435.fits,1.5,-41.00000000000002,-54.00000000000003,-2.25,1.499999999999999
psf_trial6_00000555.fits,-8.673617379884e-17,10.0,9.0,4.33680868994201e-17,-0.125
