time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,x_center_retrieved,y_center_retrieved
1577955415.556313,psf_trial3_00000001.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577955416.215387,psf_trial3_00000005.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577955416.881420,psf_trial3_00000010.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577955417.566239,psf_trial3_00000015.fits,0.000219,0.925440,-0.002064,50.000000,50.000000
1577955418.228143,psf_trial3_00000019.fits,0.000014,-0.004698,0.001701,50.000000,50.000000
1577955418.901114,psf_trial3_00000024.fits,-0.000087,-0.934707,0.005391,50.000000,50.000000
1577955419.565954,psf_trial3_00000029.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955420.232587,psf_trial3_00000033.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955420.890827,psf_trial3_00000038.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955421.570174,psf_trial3_00000042.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955422.233851,psf_trial3_00000047.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955422.891707,psf_trial3_00000052.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955423.552508,psf_trial3_00000056.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955424.211469,psf_trial3_00000061.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955424.990336,psf_trial3_00000066.fits,-0.000436,-3.067589,0.005028,50.000000,50.000000
1577955425.644294,psf_trial3_00000070.fits,-0.000712,-4.950725,0.004851,50.000000,50.000000
1577955426.302149,psf_trial3_00000075.fits,-0.000641,-4.134072,0.004849,50.000000,50.000000
1577955426.963775,psf_trial3_00000079.fits,-0.000436,-3.067589,0.005028,50.000000,50.000000
1577955427.623777,psf_trial3_00000084.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955428.283612,psf_trial3_00000089.fits,-0.000311,-2.000909,0.005210,50.000000,50.000000
1577955428.937581,psf_trial3_00000093.fits,-0.000087,-0.934707,0.005391,50.000000,50.000000
