filename,opd_injected,tip_injected,tilt_injected,x_shift_injected,y_shift_injected
psf_trial4_00003325.fits,0.0,0.0,-3.0,,
psf_trial4_00004173.fits,0.0,0.0,7.000000000000001,,
psf_trial4_00004051.fits,0.0,0.0,4.000000000000001,,
psf_trial4_00007860.fits,0.0,0.0,22.00000000000001,,
psf_trial4_00009529.fits,0.0,0.0,7.999999999999998,,
psf_trial4_00006686.fits,0.0,0.0,19.0,,
psf_trial4_00000261.fits,0.0,0.0,5.000000000000001,,
psf_trial4_00001982.fits,0.0,0.0,-4.0,,
psf_trial4_00002187.fits,0.0,0.0,-2.0,,
psf_trial4_00007082.fits,0.0,0.0,16.0,,
psf_trial4_00002502.fits,0.0,0.0,-3.0,,
psf_trial4_00006481.fits,0.0,0.0,22.00000000000001,,
psf_trial4_00003894.fits,0.0,0.0,5.000000000000001,,
psf_trial4_00002731.fits,0.0,0.0,-4.0,,
psf_trial4_00007984.fits,0.0,0.0,26.00000000000001,,
psf_trial4_00005754.fits,0.0,0.0,0.9999999999999998,,
psf_trial4_00009831.fits,0.0,0.0,7.999999999999998,,
psf_trial4_00004971.fits,0.0,0.0,5.000000000000001,,
psf_trial4_00007165.fits,0.0,0.0,9.0,,
psf_trial4_00005109.fits,0.0,0.0,5.000000000000001,,
psf_trial4_00006984.fits,0.0,0.0,13.0,,
psf_trial4_00006857.fits,0.0,0.0,14.0,,
psf_trial4_00007206.fits,0.0,0.0,13.0,,
psf_trial4_00005301.fits,0.0,0.0,-2.0,,
psf_trial4_00006796.fits,0.0,0.0,14.0,,
psf_trial4_00004325.fits,0.0,0.0,0.9999999999999998,,
psf_trial4_00005867.fits,0.0,0.0,2.0,,
psf_trial4_00007915.fits,0.0,0.0,22.00000000000001,,
psf_trial4_00008959.fits,0.0,0.0,8.999999999999998,,
psf_trial4_00004598.fits,0.0,0.0,10.0,,
psf_trial4_00009992.fits,0.0,0.0,6.999999999999998,,
psf_trial4_00001155.fits,0.0,0.0,-5.000000000000001,,
psf_trial4_00008337.fits,0.0,0.0,25.00000000000001,,
psf_trial4_00005493.fits,0.0,0.0,6.000000000000001,,
psf_trial4_00006988.fits,0.0,0.0,13.0,,
psf_trial4_00005286.fits,0.0,0.0,-4.000000000000001,,
psf_trial4_00000105.fits,0.0,0.0,-0.9999999999999998,,
psf_trial4_00001914.fits,0.0,0.0,-2.0,,
psf_trial4_00002677.fits,0.0,0.0,-2.0,,
psf_trial4_00001415.fits,0.0,0.0,-7.000000000000001,,
psf_trial4_00000338.fits,0.0,0.0,9.0,,
psf_trial4_00000907.fits,0.0,0.0,-5.000000000000001,,
psf_trial4_00000849.fits,0.0,0.0,-1.0,,
psf_trial4_00002901.fits,0.0,0.0,-5.000000000000001,,
psf_trial4_00005253.fits,0.0,0.0,-2.0,,
psf_trial4_00007485.fits,0.0,0.0,17.0,,
psf_trial4_00005886.fits,0.0,0.0,5.000000000000001,,
psf_trial4_00002811.fits,0.0,0.0,-7.000000000000001,,
psf_trial4_00005623.fits,0.0,0.0,4.0,,
psf_trial4_00008223.fits,0.0,0.0,26.00000000000001,,
psf_trial4_00009748.fits,0.0,0.0,11.0,,
psf_trial4_00003273.fits,0.0,0.0,-3.0,,
psf_trial4_00006269.fits,0.0,0.0,15.0,,
psf_trial4_00005887.fits,0.0,0.0,5.000000000000001,,
psf_trial4_00005776.fits,0.0,0.0,2.0,,
psf_trial4_00005996.fits,0.0,0.0,10.0,,
psf_trial4_00008222.fits,0.0,0.0,26.00000000000001,,
psf_trial4_00004540.fits,0.0,0.0,9.0,,
psf_trial4_00006238.fits,0.0,0.0,13.0,,
psf_trial4_00008609.fits,0.0,0.0,19.0,,
psf_trial4_00009708.fits,0.0,0.0,7.999999999999998,,
psf_trial4_00003734.fits,0.0,0.0,5.000000000000001,,
psf_trial4_00008278.fits,0.0,0.0,27.00000000000001,,
psf_trial4_00007225.fits,0.0,0.0,14.0,,
psf_trial4_00001220.fits,0.0,0.0,-4.000000000000001,,
psf_trial4_00003631.fits,0.0,0.0,3.000000000000001,,
psf_trial4_00002351.fits,0.0,0.0,1.0,,
psf_trial4_00000451.fits,0.0,0.0,11.0,,
psf_trial4_00001485.fits,0.0,0.0,-9.0,,
psf_trial4_00005892.fits,0.0,0.0,5.000000000000001,,
psf_trial4_00008921.fits,0.0,0.0,8.999999999999998,,
psf_trial4_00008750.fits,0.0,0.0,6.999999999999998,,
psf_trial4_00009523.fits,0.0,0.0,7.999999999999998,,
psf_trial4_00002599.fits,0.0,0.0,-3.0,,
psf_trial4_00007405.fits,0.0,0.0,16.0,,
psf_trial4_00006216.fits,0.0,0.0,13.0,,
psf_trial4_00009327.fits,0.0,0.0,9.999999999999996,,
psf_trial4_00007617.fits,0.0,0.0,18.0,,
psf_trial4_00000454.fits,0.0,0.0,11.0,,
psf_trial4_00002066.fits,0.0,0.0,-5.000000000000001,,
psf_trial4_00003869.fits,0.0,0.0,5.000000000000001,,
psf_trial4_00009890.fits,0.0,0.0,8.999999999999998,,
psf_trial4_00005275.fits,0.0,0.0,-4.000000000000001,,
psf_trial4_00003071.fits,0.0,0.0,-6.000000000000001,,
psf_trial4_00000152.fits,0.0,0.0,3.000000000000001,,
psf_trial4_00006058.fits,0.0,0.0,8.0,,
psf_trial4_00001122.fits,0.0,0.0,-5.000000000000001,,
psf_trial4_00007002.fits,0.0,0.0,13.0,,
psf_trial4_00005049.fits,0.0,0.0,8.0,,
psf_trial4_00000523.fits,0.0,0.0,11.0,,
