filename,opd_injected,tip_injected,tilt_injected,x_shift_injected,y_shift_injected
psf_trial1_00006242.fits,0.2499999999999999,-27.00000000000001,-40.00000000000002,,
psf_trial1_00003528.fits,-0.5000000000000001,-10.0,-12.0,,
psf_trial1_00007534.fits,4.000000000000001,-27.00000000000001,-45.00000000000003,,
psf_trial1_00008731.fits,-2.75,-45.00000000000003,-57.00000000000003,,
psf_trial1_00001787.fits,-1.25,-9.0,-7.000000000000001,,
psf_trial1_00002809.fits,1.5,-20.0,-0.9999999999999998,,
psf_trial1_00002906.fits,0.75,-20.0,-0.9999999999999998,,
psf_trial1_00005638.fits,0.5000000000000001,-19.0,-35.00000000000001,,
psf_trial1_00002455.fits,-0.75,-14.0,-13.0,,
psf_trial1_00003574.fits,-0.2500000000000001,-13.0,-14.0,,
psf_trial1_00005887.fits,0.5000000000000001,-22.00000000000001,-37.00000000000002,,
psf_trial1_00002637.fits,1.25,-16.0,-6.000000000000001,,
psf_trial1_00002697.fits,2.25,-18.0,-5.000000000000001,,
psf_trial1_00009048.fits,-5.250000000000002,-52.00000000000003,-49.00000000000002,,
psf_trial1_00005408.fits,-0.75,-19.0,-27.00000000000001,,
psf_trial1_00007696.fits,1.75,-27.00000000000001,-45.00000000000003,,
psf_trial1_00002538.fits,0.7500000000000002,-11.0,-11.0,,
psf_trial1_00000471.fits,0.5,13.0,8.0,,
psf_trial1_00005673.fits,0.2500000000000001,-20.0,-37.00000000000002,,
psf_trial1_00007317.fits,2.75,-24.00000000000001,-45.00000000000003,,
psf_trial1_00001880.fits,-1.75,-13.0,-6.000000000000001,,
psf_trial1_00004796.fits,-2.75,-16.0,-20.0,,
psf_trial1_00001744.fits,-1.0,-9.0,-5.000000000000001,,
psf_trial1_00004245.fits,-3.0,-8.0,-15.0,,
psf_trial1_00007322.fits,3.0,-23.00000000000001,-45.00000000000003,,
psf_trial1_00004762.fits,-2.75,-18.0,-18.0,,
psf_trial1_00003430.fits,-0.2500000000000001,-14.0,-8.0,,
psf_trial1_00008783.fits,-3.0,-45.00000000000003,-60.00000000000004,,
psf_trial1_00000811.fits,-2.25,6.000000000000001,2.0,,
