filename,opd_injected,tip_injected,tilt_injected,x_shift_injected,y_shift_injected
psf_trial5_00007077.fits,0.0,0.0,0.0,-2.5,3.375000000000001
psf_trial5_00006872.fits,0.0,0.0,0.0,-2.375,3.375000000000001
psf_trial5_00008687.fits,0.0,0.0,0.0,-1.624999999999999,0.2499999999999996
psf_trial5_00003600.fits,0.0,0.0,0.0,4.33680868994201e-17,-0.125
psf_trial5_00005246.fits,0.0,0.0,0.0,-2.125,2.125
psf_trial5_00001244.fits,0.0,0.0,0.0,-1.0,-0.375
psf_trial5_00006664.fits,0.0,0.0,0.0,-3.250000000000001,3.625000000000001
psf_trial5_00006741.fits,0.0,0.0,0.0,-2.375,4.125000000000002
psf_trial5_00008505.fits,0.0,0.0,0.0,-2.25,0.9999999999999997
psf_trial5_00007180.fits,0.0,0.0,0.0,-2.625,2.5
psf_trial5_00007581.fits,0.0,0.0,0.0,-2.625,1.875
psf_trial5_00004357.fits,0.0,0.0,0.0,-1.375,0.3750000000000001
psf_trial5_00007812.fits,0.0,0.0,0.0,-2.375,1.624999999999999
psf_trial5_00008753.fits,0.0,0.0,0.0,-1.25,0.6249999999999997
psf_trial5_00004828.fits,0.0,0.0,0.0,-1.25,1.5
psf_trial5_00008853.fits,0.0,0.0,0.0,-1.375,0.7499999999999997
psf_trial5_00007055.fits,0.0,0.0,0.0,-2.375,3.250000000000001
psf_trial5_00000717.fits,0.0,0.0,0.0,-1.0,0.2500000000000001
psf_trial5_00004827.fits,0.0,0.0,0.0,-1.25,1.5
psf_trial5_00000317.fits,0.0,0.0,0.0,0.1250000000000001,-0.5
psf_trial5_00005689.fits,0.0,0.0,0.0,-3.750000000000001,2.125
psf_trial5_00000674.fits,0.0,0.0,0.0,-1.0,-0.25
psf_trial5_00002647.fits,0.0,0.0,0.0,-0.7500000000000001,-1.5
psf_trial5_00006665.fits,0.0,0.0,0.0,-3.250000000000001,3.625000000000001
psf_trial5_00001651.fits,0.0,0.0,0.0,4.33680868994201e-17,-1.125
psf_trial5_00001173.fits,0.0,0.0,0.0,-1.0,0.1250000000000001
psf_trial5_00002507.fits,0.0,0.0,0.0,-0.8750000000000001,-1.875
psf_trial5_00002044.fits,0.0,0.0,0.0,-1.5,-2.25
psf_trial5_00008930.fits,0.0,0.0,0.0,-1.25,0.4999999999999997
psf_trial5_00006438.fits,0.0,0.0,0.0,-4.125000000000002,3.375000000000001
psf_trial5_00008992.fits,0.0,0.0,0.0,-1.125,0.2499999999999996
psf_trial5_00001880.fits,0.0,0.0,0.0,-1.5,-1.5
psf_trial5_00003868.fits,0.0,0.0,0.0,0.1250000000000001,-0.25
