,opd,ampl
0,-20.0,144428092175.93774
1,-19.5,162835293728.84134
2,-19.0,198067939136.43542
3,-18.5,242461165740.44284
4,-18.0,289356166160.015
5,-17.5,338226841077.50073
6,-17.0,388247146209.68036
7,-16.5,439274918313.70233
8,-16.0,491163622671.4975
9,-15.5,543762427413.487
10,-15.0,596916515670.7648
11,-14.5,650467523951.8197
12,-14.0,704254054434.0756
13,-13.5,758112234174.0813
14,-13.0,811876305893.6011
15,-12.5,865379240704.8546
16,-12.0,918453366080.0017
17,-11.5,970931003954.9668
18,-11.0,1022645114747.1289
19,-10.5,1073429943585.9492
20,-10.0,1123121665373.8364
21,-9.5,1171559025501.5188
22,-9.0,1218583973188.0227
23,-8.5,1264046199174.9573
24,-8.0,1307811743186.7776
25,-7.499999999999999,1349715063351.207
26,-6.999999999999999,1389616945852.216
27,-6.499999999999999,1427384339140.8958
28,-6.0,1462890885771.7856
29,-5.5,1496017428368.075
30,-5.0,1526652487515.0027
31,-4.499999999999997,1554692709502.1401
32,-3.999999999999999,1580043281965.6816
33,-3.5,1602618315620.8262
34,-2.999999999999998,1622341190421.3523
35,-2.5,1639144864637.862
36,-1.999999999999998,1652972145507.2866
37,-1.499999999999999,1663775920273.4146
38,-0.9999999999999972,1671519346610.6355
39,-0.4999999999999986,1676176001600.0725
40,3.3881317890172e-15,1677729988608.0002
41,0.500000000000002,1676176001600.0725
42,1.000000000000001,1671519346610.6355
43,1.500000000000003,1663775920273.4146
44,2.000000000000001,1652972145507.2866
45,2.500000000000003,1639144864637.8618
46,3.000000000000002,1622341190421.3523
47,3.500000000000004,1602618315620.8257
48,4.000000000000003,1580043281965.6814
49,4.500000000000001,1554692709502.1401
50,5.000000000000003,1526652487515.0022
51,5.500000000000002,1496017428368.075
52,6.000000000000004,1462890885771.7852
53,6.500000000000002,1427384339140.8955
54,7.000000000000004,1389616945852.2156
55,7.500000000000003,1349715063351.2068
56,8.000000000000002,1307811743186.777
57,8.500000000000004,1264046199174.957
58,9.000000000000002,1218583973188.0227
59,9.500000000000004,1171559025501.5183
60,10.0,1123121665373.8357
61,10.50000000000001,1073429943585.9484
62,11.00000000000001,1022645114747.1284
63,11.50000000000001,970931003954.9663
64,12.0,918453366080.0006
65,12.5,865379240704.8538
66,13.0,811876305893.601
67,13.50000000000001,758112234174.0814
68,14.00000000000001,704254054434.0725
69,14.5,650467523951.8191
70,15.0,596916515670.7635
71,15.50000000000001,543762427413.48505
72,16.00000000000001,491163622671.49817
73,16.5,439274918313.70166
74,17.0,388247146209.67993
75,17.5,338226841077.5007
76,18.00000000000001,289356166160.01544
77,18.50000000000001,242461165740.44247
78,19.0,198067939136.43448
79,19.5,162835293728.84134
80,20.0,144428092175.93784
