,dummy,med_highFreqPerfect_L,med_highFreqPerfect_R,med_lowFreqPerfect,med_rect,normVec_highFreqPerfect_L_x,normVec_highFreqPerfect_L_y,normVec_highFreqPerfect_L_z,normVec_highFreqPerfect_R_x,normVec_highFreqPerfect_R_y,normVec_highFreqPerfect_R_z,normVec_lowFreqPerfect_x,normVec_lowFreqPerfect_y,normVec_lowFreqPerfect_z,normVec_rect_x,normVec_rect_y,normVec_rect_z,std_highFreqPerfect_L,std_highFreqPerfect_R,std_lowFreqPerfect,std_rect,time
0,0.1,476826.6620550305,476826.6620550307,4254029.022434259,387336.6919649827,6789.744827875936,-208.98513257220037,-1218933.0617229627,-6789.744827875362,208.98513256690933,6677978.572643955,3.5106241469406996e-08,-3.316287688903685e-08,22319497.73641999,1.7739948399153604e-10,-1.9100685616502133e-10,2530258.6262114197,2243989.877318833,2243989.8773188335,87760663.73746738,23841924.775179468,1553532607.03223
1,0.1,477350.2176640262,477350.2176640261,4248725.116647019,387831.70892376016,6725.92980293681,-200.89410904909562,-1198966.7163977632,-6725.929802934247,200.8941090441175,6631076.116268059,3.872965326223721e-08,-3.8154382764332695e-08,22318018.611679368,1.6208449339638609e-10,-2.31336873268706e-10,2532068.944411502,2245142.0990009275,2245142.099000928,87802510.78803688,23862252.253218915,1553532612.384865
2,0.1,475554.4699653422,475554.46996534243,4252364.263938063,387319.7766184751,6794.8401968078,-171.6149161237882,-1243464.6165211275,-6794.840196804462,171.61491611949327,6704405.720299717,3.506317103330048e-08,-4.0488011165962234e-08,22314882.916094825,1.7572777608054757e-10,-5.267151298449235e-12,2529884.0718091405,2244861.404415799,2244861.4044157984,87767162.69673562,23843045.392832015,1553532617.079573
